"filename", "language", "Markdown", "JavaScript", "HTML", "XML", "CSS", "comment", "blank", "total"
"d:\CSS_Test\CSS_File\Animated Glassmorphism Login\Animated Glassmorphism Login.css", "CSS", 0, 0, 0, 0, 241, 0, 0, 241
"d:\CSS_Test\CSS_File\Animated Glassmorphism Login\Animated Glassmorphism Login.html", "HTML", 0, 0, 45, 0, 0, 0, 0, 45
"d:\CSS_Test\CSS_File\Animated Glassmorphism Parallax Login\Animated Glassmorphism Parallax Login..html", "HTML", 0, 0, 43, 0, 0, 0, 0, 43
"d:\CSS_Test\CSS_File\Animated Glassmorphism Parallax Login\Animated Glassmorphism Parallax Login.css", "CSS", 0, 0, 0, 0, 114, 0, 1, 115
"d:\CSS_Test\CSS_File\Animated_Gender_Selection\Animated_Gender_Selection.css", "CSS", 0, 0, 0, 0, 127, 0, 0, 127
"d:\CSS_Test\CSS_File\Animated_Gender_Selection\Animated_Gender_Selection.html", "HTML", 0, 0, 33, 0, 0, 0, 0, 33
"d:\CSS_Test\CSS_File\CSS Water Wave Background Animation Effects\CSS Water Wave Background Animation Effects.css", "CSS", 0, 0, 0, 0, 115, 0, 1, 116
"d:\CSS_Test\CSS_File\CSS Water Wave Background Animation Effects\CSS Water Wave Background Animation Effects.html", "HTML", 0, 0, 23, 0, 0, 0, 0, 23
"d:\CSS_Test\CSS_File\CSS_Button_Hover\CSS_Button_Hover.css", "CSS", 0, 0, 0, 0, 141, 0, 0, 141
"d:\CSS_Test\CSS_File\CSS_Button_Hover\CSS_Button_Hover.html", "HTML", 0, 0, 35, 0, 0, 0, 0, 35
"d:\CSS_Test\CSS_File\Colmar\Colmer.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"d:\CSS_Test\CSS_File\Fullscreen_Website_Slider\Fullscreen_Website_Slider.css", "CSS", 0, 0, 0, 0, 102, 0, 0, 102
"d:\CSS_Test\CSS_File\Fullscreen_Website_Slider\Fullscreen_Website_Slider.html", "HTML", 0, 0, 53, 0, 0, 0, 3, 56
"d:\CSS_Test\CSS_File\Mobile Friendly Website Responsive\Mobile Friendly Website Responsive.css", "CSS", 0, 0, 0, 0, 337, 12, 53, 402
"d:\CSS_Test\CSS_File\Mobile Friendly Website Responsive\Mobile Friendly Website Responsive.html", "HTML", 0, 0, 187, 0, 0, 6, 0, 193
"d:\CSS_Test\CSS_File\Responsive Box Model Web Design Using CSS Flexbox\Responsive Box Model Web Design Using CSS Flexbox.css", "CSS", 0, 0, 0, 0, 106, 0, 1, 107
"d:\CSS_Test\CSS_File\Responsive Box Model Web Design Using CSS Flexbox\Responsive Box Model Web Design Using CSS Flexbox.html", "HTML", 0, 0, 58, 0, 0, 0, 0, 58
"d:\CSS_Test\CSS_File\Responsive Masonry layouts Using CSS Grid\Responsive Masonry layouts Using CSS Grid.css", "CSS", 0, 0, 0, 0, 80, 0, 0, 80
"d:\CSS_Test\CSS_File\Responsive Masonry layouts Using CSS Grid\Responsive Masonry layouts Using CSS Grid.html", "HTML", 0, 0, 57, 0, 0, 0, 0, 57
"d:\CSS_Test\CSS_File\SEO-agency-website-template\SEO-agency-website-template.css", "CSS", 0, 0, 0, 0, 66, 1, 2, 69
"d:\CSS_Test\CSS_File\SEO-agency-website-template\SEO-agency-website-template.html", "HTML", 0, 0, 25, 0, 0, 1, 0, 26
"d:\CSS_Test\CSS_File\Simple_Star_Rating\Simple_Star_Rating.css", "CSS", 0, 0, 0, 0, 73, 0, 3, 76
"d:\CSS_Test\CSS_File\Simple_Star_Rating\Simple_Star_Rating.html", "HTML", 0, 0, 51, 0, 0, 0, 0, 51
"d:\CSS_Test\HTML-CSS-BOOSTRAP-Practice\README.md", "Markdown", 25, 0, 0, 0, 0, 0, 15, 40
"d:\CSS_Test\HTML-CSS-BOOSTRAP-Practice\images\ic-login.svg", "XML", 0, 0, 0, 27, 0, 1, 0, 28
"d:\CSS_Test\HTML-CSS-BOOSTRAP-Practice\images\ic-logo.svg", "XML", 0, 0, 0, 31, 0, 1, 0, 32
"d:\CSS_Test\HTML-CSS-BOOSTRAP-Practice\images\ic-on-campus.svg", "XML", 0, 0, 0, 27, 0, 1, 0, 28
"d:\CSS_Test\HTML-CSS-BOOSTRAP-Practice\images\ic-online.svg", "XML", 0, 0, 0, 27, 0, 1, 0, 28
"d:\CSS_Test\HTML-CSS-BOOSTRAP-Practice\index.html", "HTML", 0, 0, 206, 0, 0, 12, 9, 227
"d:\CSS_Test\HTML-CSS-BOOSTRAP-Practice\styles.css", "CSS", 0, 0, 0, 0, 323, 16, 79, 418
"d:\CSS_Test\JS_File\Crash Course\Crash Course.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 14
"d:\CSS_Test\JS_File\Crash Course\Crash Course.js", "JavaScript", 0, 54, 0, 0, 0, 11, 18, 83
"d:\CSS_Test\JS_File\Crash Course\Crash Course2.js", "JavaScript", 0, 10, 0, 0, 0, 1, 2, 13
"d:\CSS_Test\JS_File\Crash Course\tempCodeRunnerFile.js", "JavaScript", 0, 9, 0, 0, 0, 4, 2, 15
"d:\CSS_Test\JS_File\JavaScript 21 Days Challenge\EP1Falling Snow\EP1Falling Snow.html", "HTML", 0, 0, 19, 0, 0, 0, 3, 22
"d:\CSS_Test\JS_File\JavaScript 21 Days Challenge\EP1Falling Snow\EP1Falling Snow.js", "JavaScript", 0, 55, 0, 0, 0, 14, 11, 80
"d:\CSS_Test\JS_File\JavaScript 21 Days Challenge\EP2Countdown Timer\EP2Countdown Timer.html", "HTML", 0, 0, 50, 0, 0, 0, 5, 55
"d:\CSS_Test\JS_File\JavaScript 21 Days Challenge\EP2Countdown Timer\EP2Countdown Timer.js", "JavaScript", 0, 23, 0, 0, 0, 3, 5, 31
"d:\CSS_Test\JS_File\JavaScript 21 Days Challenge\EP2Countdown Timer\tempCodeRunnerFile.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\CSS_Test\JS_File\JavaScript 21 Days Challenge\EP3AsyncAwait\EP3AsyncAwait.js", "JavaScript", 0, 20, 0, 0, 0, 44, 3, 67
"d:\CSS_Test\JS_File\JavaScript 21 Days Challenge\EP3AsyncAwait\tempCodeRunnerFile.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"d:\CSS_Test\JS_File\TestJS\Higher-Order Functions Method.js", "JavaScript", 0, 40, 0, 0, 0, 46, 6, 92
"d:\CSS_Test\JS_File\TestJS\TestJS.html", "HTML", 0, 0, 12, 0, 0, 0, 0, 12
"d:\CSS_Test\JS_File\TestJS\TestJS.js", "JavaScript", 0, 16, 0, 0, 0, 1, 0, 17
"d:\CSS_Test\JS_File\TestJS\tempCodeRunnerFile.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 2
"d:\CSS_Test\JS_File\Variable\script.js", "JavaScript", 0, 10, 0, 0, 0, 1, 4, 15
"d:\CSS_Test\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 1, 3
"Total", "-", 27, 240, 911, 112, 1825, 177, 229, 3521